sample,fastq_1,fastq_2,replicate
DZ,ZY2022-XM1196_ATAC_rawdata_20221205/DZ-1_R1.fastq.gz,ZY2022-XM1196_ATAC_rawdata_20221205/DZ-1_R2.fastq.gz,1
DZ,ZY2022-XM1196_ATAC_rawdata_20221205/DZ-2_R1.fastq.gz,ZY2022-XM1196_ATAC_rawdata_20221205/DZ-2_R2.fastq.gz,2
DZ,ZY2022-XM1196_ATAC_rawdata_20221205/DZ-3_R1.fastq.gz,ZY2022-XM1196_ATAC_rawdata_20221205/DZ-3_R2.fastq.gz,3
Ava,ZY2022-XM1196_ATAC_rawdata_20221205/Ava-99_R1.fastq.gz,ZY2022-XM1196_ATAC_rawdata_20221205/Ava-99_R2.fastq.gz,1
Ava,ZY2022-XM1196_ATAC_rawdata_20221205/Ava-101_R1.fastq.gz,ZY2022-XM1196_ATAC_rawdata_20221205/Ava-101_R2.fastq.gz,2
Ava,ZY2022-XM1196_ATAC_rawdata_20221205/Ava-102_R1.fastq.gz,ZY2022-XM1196_ATAC_rawdata_20221205/Ava-102_R2.fastq.gz,3
